sample,signal,construction,bucket_col,months,delta_mean_years_to_maturity_mean_avg,delta_last_years_to_maturity_mean_avg,delta_mean_curve_rmse_mean_avg,delta_last_curve_rmse_mean_avg,delta_mean_n_issues_mean_avg,delta_max_n_issues_mean_avg,delta_total_trade_count_mean_avg,delta_total_gross_volume_mean_avg,delta_mean_log_gross_volume_mean_avg,delta_mean_liquidity_weight_mean_avg,delta_mean_curve_support_score_mean_avg,delta_cheap_share_mean_avg,delta_rich_share_mean_avg,delta_unstable_curve_share_mean_avg,delta_coupon_mean_avg,delta_amount_outstanding_mean_avg,long_amount_outstanding_mean_avg,short_amount_outstanding_mean_avg,long_rating_a_or_better_share_avg,long_rating_bb_share_avg,short_rating_a_or_better_share_avg,short_rating_bb_share_avg,short_rating_missing_share_avg,long_rating_missing_share_avg,long_rating_ccc_or_lower_share_avg,long_rating_b_share_avg,short_rating_b_share_avg,short_rating_ccc_or_lower_share_avg,long_amount_small_amt_share_avg,long_amount_mid_amt_share_avg,long_amount_large_amt_share_avg,short_amount_small_amt_share_avg,short_amount_large_amt_share_avg,short_amount_mid_amt_share_avg,long_amount_missing_share_avg,short_amount_missing_share_avg,short_rating_default_share_avg,long_rating_default_share_avg
all_2002_2024,last_residual_over_rmse,global,,270,1.6409456727,1.6441668725,0.0385876186,0.0369679655,0.2530720394,-0.0417618654,-26.6221460254,-17574639.00892597,-0.6571494339,-2.5946584133,0.0474515285,0.6650724814,-0.6650724814,0.0043121843,0.8955887516,-107038.8024823043,449516.6427103614,539639.7396037624,0.5263020636,0.4094760049,0.5166227963,0.4257709717,0.0194961555,0.0333908243,0.0147869609,0.0259172995,0.0331951219,0.0128763998,0.1889080821,0.0796686546,0.0414080528,0.0911327857,0.06782504,0.1092543593,0.7323850862,0.7708478959,0.0036431746,0.0035136335
all_2002_2024,last_residual_over_rmse,rating_neutral,rating_bucket,270,1.7479989318,1.7508719209,0.0056849585,0.0054386146,-0.196626025,-0.5151260856,-26.5189204259,-17945013.94842153,-0.6430884088,-2.5474124877,0.0472686251,0.6614479401,-0.6614479401,0.0016677205,0.9640860149,-103302.9988885848,449092.4110257683,543185.8603646292,0.5375081937,0.4245424575,0.5375081937,0.4245424575,0.0336988731,0.0336988731,0.0242813088,0.030748343,0.030748343,0.0242813088,0.1896175275,0.0811760731,0.0434290544,0.0921170786,0.06903544,0.1094644046,0.7287575483,0.7681310135,,
test_2020_2024,composite_residual_rank,amount_neutral,amount_bucket,60,0.6113394544,0.6135004057,-0.014567931,-0.0145341576,-2.3298028197,-3.1255262642,-21.5498370174,-12369416.926774772,-0.3712834747,-1.7036628534,-0.0447320801,0.7857837231,-0.7857837231,-0.0008069498,1.0369575405,-3197.8358948626,720352.3746357479,723550.2105306105,0.464381098,0.5148548092,0.5091797436,0.4671698711,0.0166617181,0.0152590585,0.0014583349,0.0057684509,0.008436888,0.0024782312,0.3476144852,0.342752249,0.3096332659,0.3476117648,0.3096315464,0.3427566889,,,,
test_2020_2024,composite_residual_rank,global,,60,0.8173714818,0.8237282945,0.0304494219,0.0313295839,-1.3409754597,-2.066295468,-60.620059063,-26590179.74295676,-0.9468033542,-4.7604371602,-0.100131938,0.7449878242,-0.7449878242,0.000200014,1.1044280302,-288602.3190192643,446654.8032627797,735257.1222820439,0.4750307273,0.4930228519,0.4830057982,0.4916046607,0.0142576883,0.0204173387,0.0032486813,0.0096165636,0.0098347904,0.0029738011,0.4617440591,0.1699356656,0.0849954585,0.2078524997,0.2039140279,0.2771926413,0.2833248168,0.3110408311,0.0014336984,0.0021479723
test_2020_2024,composite_residual_rank,rating_neutral,rating_bucket,60,0.8922010464,0.8984114573,0.0165206022,0.0173180562,-1.2900751974,-2.0091612577,-60.1912105115,-26510447.919664424,-0.9395758197,-4.7389305148,-0.090293253,0.7441889297,-0.7441889297,-0.0004075972,1.0860943191,-289278.952028236,447061.3401348144,736340.2921630505,0.4848433418,0.4927112353,0.4848433937,0.4927135568,0.0223673764,0.022408208,0.0106382979,0.0112589804,0.0112834092,0.0106382979,0.4644778523,0.1711860036,0.085712396,0.2079369444,0.2043419439,0.2766271862,0.2786237481,0.3110939255,,
test_2020_2024,last_bucket_residual_z,amount_neutral,amount_bucket,60,-1.4507376769,-1.448692025,-0.0174208661,-0.0172988097,-0.0850589902,-0.9905119558,-8.6687214124,-13071085.754062064,-0.4222036293,-1.1471747681,0.0834083802,0.7325822833,-0.7325822833,-0.0005326952,0.9145555098,16163.1422259626,823884.2445880581,807721.1023620955,0.5937802184,0.3948213859,0.6475601692,0.3363052818,0.0184763349,0.0155826139,,0.0040924155,0.0052931591,0.0086963097,0.3406416965,0.297854932,0.3615033715,0.3406416965,0.3615033715,0.297854932,,,,
test_2020_2024,last_bucket_residual_z,global,,60,-1.85655525,-1.8493627204,0.0412391547,0.0392041748,1.2168336026,0.2894151115,-64.2466732746,-36345064.69374837,-1.1691145014,-5.108653227,0.0091392305,0.7233948377,-0.7233948377,0.0003608781,1.0008108674,-365553.418611589,512091.7024753584,877645.1210869473,0.6190325953,0.3544081113,0.6297847519,0.3528352266,0.0151469834,0.024482181,0.0042912587,0.0039093371,0.004953639,0.0118577075,0.451328462,0.1308342935,0.1182034898,0.206067502,0.2946652651,0.2390848051,0.2996337547,0.2601824278,,
test_2020_2024,last_bucket_residual_z,rating_neutral,rating_bucket,60,-1.731726187,-1.7248350803,0.0155596794,0.0134475256,1.3019639384,0.4014046459,-62.0924589474,-35801667.92663498,-1.1444498666,-5.0133768354,0.0303259983,0.720352409,-0.720352409,-0.0003264351,0.9529167086,-360683.9729063796,521087.6832438668,881771.6561502464,0.6266082205,0.36505628,0.6266082205,0.36505628,0.035723569,0.035723569,,,,,0.4540972633,0.1342814989,0.1221846855,0.2050210045,0.2975175962,0.2391827634,0.2894365522,0.2582786359,,
test_2020_2024,last_issuer_date_residual_z,amount_neutral,amount_bucket,60,1.0978731151,1.0997782655,-0.0159551798,-0.0152332277,0.69498234,0.1983128501,-21.4904709066,-11840504.668108324,-0.3961925452,-1.7278467205,0.1240151533,0.7920209622,-0.7920209622,-0.0006830242,1.0691621595,3357.6742606281,724255.2672347748,720897.5929741467,0.4835510606,0.4986695899,0.4938416643,0.4808548591,0.0166913308,0.0148570541,0.0014162124,0.0043079341,0.0099741408,0.0025052083,0.3476292998,0.3427233366,0.3096473636,0.3476292998,0.3096473636,0.3427233366,,,,
test_2020_2024,last_issuer_date_residual_z,global,,60,1.3626189823,1.368124255,0.0229338151,0.0225328499,1.808013599,1.4416994875,-53.0038285481,-22724554.776600804,-0.8931481597,-4.3120878559,0.0802853867,0.7494517124,-0.7494517124,0.0003232578,1.1082894887,-241775.4276708647,478988.9172337573,720764.3449046218,0.4948362294,0.4755530505,0.4676919141,0.5046377075,0.014047465,0.0201150483,0.0027672402,0.0080181756,0.012002189,0.0028908443,0.4510643497,0.1728177125,0.0993937102,0.207916651,0.1947875447,0.2820712821,0.2767242277,0.3152245221,0.0014388489,0.0028653295
test_2020_2024,last_issuer_date_residual_z,rating_neutral,rating_bucket,60,1.3892116557,1.3944516812,0.0120237027,0.0116115722,1.5578898142,1.1584685189,-51.0495398733,-21988195.11921745,-0.8653836305,-4.162290188,0.07611979,0.7484195798,-0.7484195798,-0.0001847221,1.118644803,-239491.9104548697,481666.0716203927,721157.9820752625,0.4848542187,0.4927225117,0.4848542187,0.4927225117,0.0223686259,0.0223686259,0.0106382979,0.0112593058,0.0112593058,0.0106382979,0.4518573969,0.1746269881,0.1003993153,0.2078832677,0.195923788,0.2813969685,0.2731162997,0.3147959758,,
test_2020_2024,last_residual_over_rmse,amount_neutral,amount_bucket,60,1.0682329132,1.0701667243,-0.0151607996,-0.0160449175,1.6236258295,1.3364096207,-18.9886072999,-11614288.316327589,-0.4110522808,-1.8126206545,0.1483192862,0.7808182728,-0.7808182728,-0.0007203433,1.0336484579,2191.4813877894,707870.5379238154,705679.056536026,0.4911759544,0.4929691617,0.4909047601,0.4843705969,0.016101948,0.0142275288,0.0017660288,0.0042675965,0.009797198,0.0023468587,0.3476292998,0.3427233366,0.3096473636,0.3476292998,0.3096473636,0.3427233366,,,,
test_2020_2024,last_residual_over_rmse,global,,60,1.3072452646,1.3133864669,0.0264344358,0.0254185809,3.5938435995,3.4448771504,-55.1593749699,-22881637.40401847,-0.9534924699,-4.5146878719,0.1279107475,0.7363178454,-0.7363178454,0.0005216102,1.0921303672,-246061.5979823929,411081.8166680495,657143.4146504425,0.5087930399,0.4638769107,0.4641207117,0.5078103508,0.0140362067,0.0189042873,0.0032355011,0.0068442625,0.0121760996,0.0032253847,0.4853629532,0.1646064118,0.0727687952,0.23155498,0.1673232521,0.2794298229,0.2772618398,0.321691945,0.001434732,0.0021479723
test_2020_2024,last_residual_over_rmse,rating_neutral,rating_bucket,60,1.3345421957,1.3402712322,0.0145660323,0.0141041665,3.0702218146,2.8714664161,-52.6597790821,-21974818.467490926,-0.9135208232,-4.3248534806,0.1147660768,0.7348180083,-0.7348180083,-0.0001557752,1.1136889579,-241893.1000648669,416721.0255151698,658614.1255800367,0.4848542187,0.4927225117,0.4848542187,0.4927225117,0.0223686259,0.0223686259,0.0106382979,0.0112593058,0.0112593058,0.0106382979,0.4832295832,0.1683837549,0.0744803609,0.2320302292,0.1688238669,0.2791193558,0.273906301,0.320026548,,
train_2002_2016,composite_residual_rank,amount_neutral,amount_bucket,98,-1.5694212953,-1.5689507972,-0.0422858242,-0.0508024651,-2.4009882042,-3.0353579442,0.7655418462,-13066483.664078083,-0.531873709,-0.9710518211,0.034967909,0.6909302411,-0.6909302411,-0.001982916,0.9306726668,38995.5540031841,620757.6787377143,581762.1247345301,0.5682560871,0.4105851323,0.5865479626,0.3898452686,0.0309343434,,0.0227700126,0.034913124,0.0370865346,0.0226481843,0.3735248158,0.3138587237,0.3190749676,0.3732346635,0.3192333891,0.3139934457,,,,
train_2002_2016,composite_residual_rank,global,,174,1.4158983071,1.4194873772,0.02134212,0.0246087687,-6.5253588576,-7.9836430332,-28.8222882851,-23738966.7893028,-0.5907343195,-2.6276458493,-0.131979438,0.6567739574,-0.6567739574,0.0025786064,0.9732277384,-74510.350177845,439511.4996743168,485622.1286321454,0.5382413304,0.3848343501,0.5687911959,0.3667995726,0.0237737714,0.0355822982,0.0184404791,0.0369883713,0.0374729454,0.0153299557,0.0535236377,0.029229316,0.0214189627,0.026921238,0.0240797035,0.0257388067,0.9181643659,0.94061526,0.0048168616,0.0034812533
train_2002_2016,composite_residual_rank,rating_neutral,rating_bucket,174,1.5418702749,1.545195573,-0.0056237994,-0.0018158516,-6.5303158244,-7.942948788,-27.6573740666,-24259116.098990478,-0.6016144523,-2.5905522861,-0.1205459797,0.6530696098,-0.6530696098,0.0004720776,0.9856158652,-69195.0160791332,434771.6807245215,484926.1819077369,0.5705561566,0.3834787538,0.5705555179,0.3834675537,0.0457193743,0.0457332402,0.0260858627,0.0387385266,0.038756173,0.0260843774,0.0547766232,0.0301716757,0.0222670939,0.0275541687,0.0243719042,0.0262724046,0.9156523899,0.9394871247,,
train_2002_2016,last_bucket_residual_z,amount_neutral,amount_bucket,51,-1.2002215286,-1.198862167,-0.0725675078,-0.0655477589,-7.7016033106,-8.6049256741,4.5871313778,-14207490.243106717,-0.3673236572,-1.4761272279,-0.1088304378,0.6821901882,-0.6821901882,-0.0008022567,1.2707358806,38330.4781183349,789737.1140510365,751406.6359327015,0.6112618989,0.3596040272,0.7156025073,0.279075399,,0.0357142857,0.0445351088,0.025,0.0714285714,0.0399996414,0.2672605301,0.3917956152,0.3881074777,0.2672605301,0.3881074777,0.3917956152,,,,
train_2002_2016,last_bucket_residual_z,global,,166,-1.106236968,-1.1038026844,0.1070376272,0.1003702971,-9.940762961,-12.6101793161,-11.8271892645,-31906863.648112055,-0.6664755999,-2.5365923362,-0.1017827458,0.6523747885,-0.6523747885,0.011763593,0.7510194833,-81181.8931735296,524779.350586574,611395.6549465028,0.6841687617,0.232847396,0.7052275137,0.2216877975,0.0608388773,0.0872740143,0.0176873191,0.0214227846,0.0327516383,0.0239966214,0.0458376686,0.0480663129,0.0391423444,0.0432015361,0.0639932792,0.0509580005,0.9028382976,0.8875521683,0.023848908,0.0089328661
train_2002_2016,last_bucket_residual_z,rating_neutral,rating_bucket,166,-0.9209780162,-0.9192378345,0.0751635213,0.0691971578,-9.7340529705,-11.994477554,-5.6498978321,-29238902.108209692,-0.5951153821,-2.1120445027,-0.0859780479,0.6387706905,-0.6387706905,0.0087380653,0.9016033519,-77514.0716081574,527813.5199759903,608763.8274547344,0.7396596884,0.2699428972,0.7396596884,0.2699428972,0.1237706751,0.1237706751,0.0693069307,,,0.0693069307,0.0465617098,0.0518156211,0.0420509827,0.0440908599,0.0657473372,0.0531664171,0.8973273418,0.8836993956,,
